CODIGO DE ESTABLECIMIENTO,NOMBRE ESTABLECIMIENTO,DIRECCION,CIRCUITO,COMUNA,DESDE MESA,HASTA MESA,TOTAL MESAS,Latitude,Longitude
4367,ESC N°26 HIPOLITO YRIGOYEN,AV SAN JUAN 353,1,1,1,11,11,-34.6217775,-58.37066139999999
4369,ESC N°3 BERNARDINO RIVADAVIA,BOLIVAR 1235,1,1,19,28,10,-34.6222612,-58.37279960000001
5043,INSTITUTO MARIA AUXILIADORA,AV JUAN DE GARAY 556,1,1,12,18,7,-34.6243634,-58.37346609999999
9009,ESC. N°27 DEAN FUNES,DEFENSA 1431,1,1,29,31,3,-34.6245781,-58.3712385
5113,ESC Nº1 VALENTIN GOMEZ,AV INDEPENDENCIA 758,2,1,32,45,14,-34.617397,-58.3768245
7749,ESCUELA GUILLERMO RAWSON,HUMBERTO I 343,2,1,46,54,9,-30.8648556,-61.3485135
9012,COL. NAC. N°7 J M PUEYRREDON,CHACABUCO 922,2,1,55,60,6,-34.6187843,-58.3757575
8391,UNIVERSIDAD CATOLICA ARGENTINA,AV. ALICIA MOREAU DE JUSTO 1400,3,1,61,66,6,-34.6144432,-58.36616110000001
8066,UNIVERSIDAD CATOLICA ARGENTINA,AV. ALICIA MOREAU DE JUSTO 1400,4,1,67,72,6,-34.6144432,-58.36616110000001
4636,ESC Nº25 BANDERA ARGENTINA,EEUU DEL BRASIL S/N Y ANT ARG,5,1,73,85,13,-34.6036844,-58.3815591
4639,EMEM Nº6 PADRE C MUGICA,LETONIA S/N Y ANT ARG,5,1,86,94,9,-34.6036844,-58.3815591
4593,COL. NAC.Nº2 D F SARMIENTO,LIBERTAD 1257,6,1,115,136,22,-34.5935995,-58.3844132
4596,ESC COM Nº2 D F SARMIENTO,AV PRESIDENTE QUINTANA 7,6,1,95,114,20,-34.59266849999999,-58.3845651
5335,INST SUP DE LENGUAS VIVAS,CARLOS PELLEGRINI 1515,6,1,137,141,5,-34.5901809,-58.3813939
5210,USAL FACULTAD DE CS ECONOMICAS,MARCELO T DE ALVEAR 1335,7,1,142,155,14,-34.59696220000001,-58.3861815
9015,UCES UNIV DE CS SOCIALES Y EMP,PARAGUAY 1318,7,1,156,159,4,-34.5981922,-58.3859045
9377,COLEGIO JESUS MARIA,TALCAHUANO 1260,7,1,160,165,6,-34.5936682,-58.3859569
4631,COLEGIO SAN MARON,PARAGUAY 834,8,1,186,191,6,-34.5977254,-58.37878300000001
4641,ESC Nº6 FRENCH Y BERUTI,BASAVILBASO 1295,8,1,166,180,15,-34.5928946,-58.37707030000001
9023,INST SUPERIOR DE LENGUAS VIVAS,CARLOS PELLEGRINI 1515,8,1,181,185,5,-34.5901809,-58.3813939
4407,ESC N°4  CATEDRAL J M ESTRADA,RECONQUISTA 461,9,1,207,215,9,-34.6024426,-58.3725417
4409,ESC N°13 GRAL SAN MARTIN,SAN MARTIN 458,9,1,192,206,15,-34.6025636,-58.37395999999999
4410,COLEGIO DE NUESTRA SEÑORA,ESMERALDA 759,9,1,216,224,9,-34.5993847,-58.37828750000001
4412,ESC N°8 NICOLAS AVELLANEDA,TALCAHUANO 680,10,1,235,251,17,-34.6007672,-58.3854006
5330,ESC N°7 PTE ROCA,LIBERTAD 581,10,1,225,234,10,-34.6016953,-58.38394820000001
9026,UMSA UNIV DE MUSEO SOCIAL ARG,AV CORRIENTES 1723,10,1,252,259,8,-34.6043325,-58.3912246
4404,ESC N°9 FAMILIA DE CABEZON,JUAN DOMINGO PERON 1140,11,1,260,269,10,-34.6062069,-58.38265879999999
8691,ESC TEC N° 19 ALEJANDRO VOLTA,RODRIGUEZ PEÑA 551,11,1,280,287,8,-34.6025477,-58.3912233
9029,ESC N°5 RODRIGUEZ PEÑA,RODRIGUEZ PEÑA 747,11,1,270,279,10,-34.6002911,-58.39151039999999
9032,INSTITUTO SANTA ROSA,BARTOLOME MITRE 1655,11,1,288,296,9,-34.60783780000001,-58.39009780000001
4395,COLEGIO DON BOSCO,SOLIS 252,12,1,297,311,15,-34.6119592,-58.3902685
9035,FUND DE ALTOS EST EN CS COM,URUGUAY 57,12,1,312,315,4,-34.6081037,-58.3862715
9037,ESC N°14 MARIANO NECOCHEA,SAENZ PEÑA 463,12,1,316,324,9,-34.6141449,-58.38754220000001
9040,ESC N°13 PCIA S DEL ESTERO,CHILE 1371,12,1,325,330,6,-34.6166511,-58.3855239
4350,ESC N°2 FRAY C RODRIGUEZ,CHILE 1670,13,1,347,353,7,-34.6167748,-58.3900121
5328,UADE UNIV ARG DE LA EMPRESA,LIMA 761,13,1,331,338,8,-34.6172366,-58.3816071
9043,INSTITUTO LOS ROBLES,LUIS SAENZ PEÑA 443,13,1,339,346,8,-34.6139443,-58.38754549999999
9046,INST NTRA SRA DE MONSERRAT,AV BELGRANO 1344,13,1,363,366,4,-34.6133923,-58.3852591
9049,UBA FAC DE CS SOCIALES,SANTIAGO DEL ESTERO 1029,13,1,354,362,9,-34.620216,-58.38441520000001
